Stock_ID,YEAR,OWN,FORN,BIG4,SIZE,LEV,CUR,GRW,ROA,ROE,CFO,PPE,AGE,INVREC,MB,TQ,LOSS
10000,2011,0.6017518,0.1683432,1.0,27.39051819,0.51297671,11.05721378,0.64964092,0.02783803,-0.14815924,0.09444479,0.2279163,3.48149776,0.37703076,4.54374123,2.9422617,0.0
10000,2012,0.60397184,0.15780875,1.0,27.37757301,0.51757979,11.28979015,0.64378625,0.03248861,-0.12518306,0.0939951,0.22759555,3.47985935,0.38456118,4.61968231,2.88178134,0.0
10000,2013,0.61665982,0.14030421,1.0,27.42863274,0.51790422,11.10515594,0.6310733,0.03396377,-0.04876903,0.09875839,0.22647923,3.52816296,0.39532843,4.50724411,2.63894415,0.0
10000,2014,0.63508892,0.12799783,1.0,27.49103546,0.51238418,10.75751019,0.63361859,0.03679044,0.02184354,0.10455902,0.22596163,3.59390759,0.4065071,4.1918292,2.44172382,0.0
10000,2015,0.63945109,0.12598267,0.0,27.51163864,0.50757712,10.14072895,0.66250592,0.04432947,0.05309718,0.10753861,0.22929129,3.63373184,0.40485135,3.92059541,2.45408535,0.0
10000,2016,0.63183367,0.1270725,0.0,27.49607277,0.5114466,9.98184967,0.6955561,0.0521442,0.05396721,0.10526471,0.22877941,3.65859532,0.40082705,3.86039853,2.51633167,0.0
10000,2017,0.61849701,0.1263341,0.0,27.43297768,0.52409971,10.10735607,0.73680973,0.05184848,0.06811872,0.09592058,0.22165854,3.72865963,0.39597416,3.93587565,2.51771975,0.0
10000,2018,0.60488462,0.12147136,0.0,27.318367,0.5326618,9.82531166,0.7667408,0.05562939,0.12931657,0.08964407,0.21792458,3.81166744,0.38922045,3.94503284,2.39807725,0.0
10000,2019,0.6029188,0.11604895,0.0,27.22649384,0.52924192,9.3286972,0.79554546,0.065024,0.19499236,0.09311388,0.2203538,3.86529851,0.37906194,3.83631802,2.30961275,0.0
10000,2020,0.60794175,0.11258566,0.0,27.21243477,0.52466261,9.10783482,0.78028172,0.07015229,0.22266439,0.10002097,0.22009563,3.84240508,0.37348494,3.67891622,2.27216291,0.0
10000,2021,0.60806781,0.10994074,0.0,27.24097824,0.51387364,8.87567139,0.76438344,0.07186696,0.2143666,0.10908235,0.2196907,3.75112152,0.36766315,3.50738859,2.30396724,0.0
