Stock_ID,YEAR,OWN,FORN,BIG4,SIZE,LEV,CUR,GRW,ROA,ROE,CFO,PPE,AGE,INVREC,MB,TQ,LOSS
10000,2011,0.61464751,0.19810042,1.0,27.25571632,0.48010731,8.15113735,0.62878734,0.06782974,0.06033587,0.15424447,0.248088,3.46186709,0.36692029,3.33341169,2.87056184,0.0
10000,2012,0.61821711,0.19822451,1.0,27.30594635,0.47772476,8.07653141,0.65304577,0.05795497,0.05823537,0.15208262,0.23793113,3.45098329,0.37327689,3.4327178,2.91011882,0.0
10000,2013,0.61458009,0.19454981,1.0,27.29472351,0.4769567,7.89126587,0.66831481,0.04849437,0.05013524,0.14657585,0.22716437,3.45562816,0.3774201,3.66137218,2.92488527,0.0
10000,2014,0.60599011,0.19314632,0.0,27.27584076,0.47557724,7.74611807,0.66812909,0.05150828,0.038273,0.14024179,0.22422916,3.46779704,0.37934986,3.90103555,2.90210342,0.0
10000,2015,0.59686917,0.19578119,0.0,27.23149681,0.47450918,7.63441038,0.66509706,0.0639418,0.01807657,0.13396138,0.22396041,3.47971272,0.37749368,3.91748428,2.86859345,0.0
10000,2016,0.59277248,0.20300034,0.0,27.19985962,0.47152674,7.61526394,0.67142302,0.07422978,-0.01010411,0.13014044,0.22355276,3.5009191,0.36969069,3.70269585,2.84889221,0.0
10000,2017,0.58979374,0.21205433,0.0,27.17315865,0.47115511,7.70444536,0.68157488,0.07353647,-0.04001949,0.1272185,0.21973552,3.49245572,0.36048874,3.50106668,2.86450076,0.0
10000,2018,0.59087819,0.22243606,0.0,27.15606499,0.47019628,7.95225573,0.69266963,0.06311297,-0.05233287,0.12583475,0.21557634,3.4657495,0.35752127,3.44472718,2.89996076,0.0
10000,2019,0.59504944,0.22888458,0.0,27.13910866,0.47025448,8.09788704,0.6820057,0.05411233,-0.0419921,0.12688419,0.21233805,3.44087791,0.35854197,3.55701375,2.93534708,0.0
10000,2020,0.60600179,0.22394598,0.0,27.18059921,0.46416786,7.97664499,0.65421844,0.05795579,-0.00843078,0.13103972,0.2150325,3.45062065,0.36112016,3.77289605,2.9147675,0.0
10000,2021,0.61964935,0.21475878,0.0,27.25907516,0.46085078,7.65185928,0.63426,0.07408719,0.00780668,0.13555287,0.21928065,3.47546983,0.36205417,3.89122152,2.88156629,0.0
10000,2022,0.63898355,0.19952038,0.0,27.37129784,0.45607069,7.22140551,0.63823211,0.09605931,0.00825105,0.1428342,0.22223027,3.51759171,0.35540941,3.75743699,2.83710456,0.0
10000,2023,0.64733195,0.19273338,0.0,27.38476753,0.45616293,7.06822348,0.65990287,0.10176559,-0.00314397,0.14794081,0.22175437,3.52062297,0.34671727,3.57545352,2.81645441,0.0
10001,2011,0.54177809,0.18642245,1.0,27.27826118,0.53068143,7.79651403,0.64808118,0.04358485,-0.15414409,0.11953977,0.27659687,3.4577713,0.45180824,4.07442284,2.7687037,0.0
